"pass_geo","Count"
"0",3739867
"2",136283
"1",128575
"3",111649
"4",95681
"5",84100
"6",74620
"7",68426
"8",63230
"9",58430
"10",53706
"11",49748
"12",46212
"13",44077
"14",41009
"15",38422
"16",36595
"17",34299
"18",32360
"19",30790
"20",28986
"21",27583
"22",26093
"23",24626
"24",23259
"25",22215
"26",20839
"27",19883
"28",18731
"29",18222
"30",17143
"31",16537
"32",15561
"33",15022
"34",14428
"35",13969
"36",13018
"37",12515
"38",12050
"39",11482
"40",11011
"41",10489
"42",10258
"43",9766
"44",9496
"45",9049
"46",8814
"47",8330
"48",8108
"49",7662
"50",7351
"51",7225
"52",6996
"53",6681
"54",6456
"55",6248
"56",6158
"57",5814
"58",5759
"59",5486
"60",5357
"61",5147
"62",4961
"63",4787
"64",4641
"65",4437
"66",4311
"67",4063
"68",3956
"69",3952
"70",3765
"71",3645
"72",3483
"74",3447
"73",3330
"75",3302
"76",3189
"77",3054
"79",2948
"78",2927
"80",2814
"81",2722
"82",2632
"84",2630
"83",2568
"85",2480
"88",2309
"89",2301
"86",2292
"87",2222
"90",2105
"91",2083
"92",2040
"93",2024
"94",1907
"95",1834
"96",1761
"97",1730
"98",1687
"99",1652
"101",1564
"100",1545
"103",1509
"102",1485
"104",1457
"105",1391
"106",1331
"108",1281
"109",1214
"107",1212
"110",1185
"111",1183
"112",1174
"114",1147
"113",1100
"116",1077
"115",1051
"118",1037
"117",1012
"119",987
"120",974
"122",954
"124",925
"123",919
"121",885
"126",830
"127",809
"128",801
"125",790
"129",771
"131",750
"130",750
"133",704
"136",702
"132",691
"134",681
"139",671
"135",667
"140",652
"138",652
"137",640
"141",618
"144",617
"142",569
"143",567
"145",542
"149",531
"150",528
"148",527
"146",525
"147",513
"153",503
"151",496
"159",468
"152",467
"156",456
"155",444
"158",440
"154",440
"164",407
"160",399
"161",395
"165",394
"157",390
"162",387
"163",380
"167",369
"166",354
"168",342
"169",339
"170",335
"172",333
"171",332
"178",315
"173",311
"174",304
"177",299
"175",297
"180",284
"179",276
"181",270
"182",269
"183",262
"176",259
"184",253
"186",251
"187",236
"191",233
"192",230
"190",226
"193",221
"194",215
"189",213
"185",213
"188",204
"196",202
"197",196
"195",192
"200",182
"204",181
"201",174
"205",173
"202",173
"199",173
"203",172
"198",166
"209",162
"212",154
"206",154
"210",153
"208",151
"214",150
"211",148
"207",147
"216",139
"215",135
"213",135
"217",133
"219",121
"220",119
"221",116
"222",114
"227",113
"223",112
"218",110
"226",108
"224",108
"225",103
"231",100
"234",98
"242",97
"232",95
"230",95
"233",93
"236",91
"229",91
"228",90
"238",88
"244",87
"245",84
"241",84
"235",81
"237",76
"247",73
"243",73
"239",73
"253",72
"240",71
"252",68
"250",65
"254",64
"251",64
"249",64
"257",63
"255",63
"258",62
"246",62
"263",61
"256",60
"270",55
"261",55
"260",55
"265",54
"266",52
"268",51
"262",51
"283",50
"248",50
"272",48
"259",48
"274",46
"267",45
"271",44
"279",41
"264",41
"288",40
"286",40
"287",38
"284",38
"280",38
"273",38
"300",37
"295",37
"282",37
"281",37
"277",37
"278",35
"269",35
"299",34
"276",34
"289",33
"293",32
"292",32
"285",32
"275",31
"310",29
"301",29
"294",29
"307",28
"303",27
"302",27
"297",27
"296",27
"291",27
"312",26
"308",26
"304",25
"309",24
"313",23
"305",23
"298",23
"290",23
"321",22
"306",22
"323",21
"336",20
"334",20
"311",19
"330",18
"329",18
"315",18
"331",17
"325",17
"320",17
"318",16
"355",15
"319",15
"316",15
"348",14
"342",14
"341",14
"314",14
"327",13
"322",13
"375",12
"354",12
"353",12
"351",12
"349",12
"339",12
"337",12
"317",12
"361",11
"350",11
"335",11
"332",11
"326",11
"410",10
"381",10
"380",10
"379",10
"372",10
"369",10
"368",10
"366",10
"358",10
"352",10
"333",10
"432",9
"426",9
"396",9
"387",9
"382",9
"376",9
"362",9
"347",9
"343",9
"340",9
"338",9
"401",8
"378",8
"370",8
"365",8
"346",8
"324",8
"467",7
"423",7
"420",7
"414",7
"408",7
"406",7
"400",7
"389",7
"383",7
"363",7
"451",6
"436",6
"428",6
"424",6
"404",6
"398",6
"394",6
"392",6
"360",6
"328",6
"542",5
"457",5
"445",5
"440",5
"430",5
"422",5
"418",5
"415",5
"413",5
"391",5
"388",5
"384",5
"374",5
"371",5
"364",5
"344",5
"589",4
"579",4
"533",4
"507",4
"463",4
"460",4
"449",4
"447",4
"441",4
"427",4
"425",4
"412",4
"409",4
"402",4
"397",4
"395",4
"390",4
"385",4
"377",4
"367",4
"359",4
"356",4
"345",4
"543",3
"535",3
"534",3
"525",3
"515",3
"497",3
"496",3
"486",3
"483",3
"482",3
"477",3
"476",3
"473",3
"470",3
"458",3
"452",3
"442",3
"439",3
"438",3
"435",3
"431",3
"421",3
"417",3
"405",3
"403",3
"399",3
"393",3
"891",2
"607",2
"602",2
"599",2
"592",2
"591",2
"582",2
"577",2
"573",2
"554",2
"550",2
"538",2
"531",2
"524",2
"522",2
"514",2
"512",2
"504",2
"502",2
"501",2
"495",2
"492",2
"491",2
"489",2
"487",2
"485",2
"481",2
"479",2
"474",2
"468",2
"466",2
"464",2
"446",2
"444",2
"443",2
"437",2
"433",2
"419",2
"411",2
"407",2
"386",2
"373",2
"357",2
"925",1
"862",1
"857",1
"847",1
"846",1
"825",1
"820",1
"814",1
"810",1
"801",1
"797",1
"754",1
"654",1
"651",1
"639",1
"638",1
"632",1
"631",1
"626",1
"625",1
"622",1
"620",1
"619",1
"615",1
"611",1
"603",1
"600",1
"596",1
"586",1
"578",1
"574",1
"572",1
"570",1
"567",1
"564",1
"563",1
"562",1
"558",1
"556",1
"555",1
"551",1
"549",1
"548",1
"547",1
"546",1
"537",1
"536",1
"532",1
"529",1
"528",1
"527",1
"518",1
"516",1
"513",1
"510",1
"509",1
"506",1
"500",1
"499",1
"498",1
"493",1
"490",1
"484",1
"480",1
"478",1
"475",1
"471",1
"465",1
"461",1
"459",1
"456",1
"455",1
"454",1
"453",1
"448",1
"434",1
"429",1
